종목코드,종목명,섹터,대표종목,등락률,변동일,지속일
69500,KODEX 200,코스피,"삼성전자, SK하이닉스, 셀트리온, 현대차",0.69%,2025-03-17,유지 +4일
91160,KODEX 반도체,반도체,"SK하이닉스, 삼성전자, 한미반도체, 리노공업",1.27%,2025-03-17,유지 +4일
91170,KODEX 은행,은행,"하나금융지주, KB금융, 신한지주, 우리금융지주",1.05%,2025-03-17,유지 +4일
91180,KODEX 자동차,자동차,"현대모비스, 기아, 현대차, 한국타이어앤테크놀로지",1.14%,2025-03-12,유지 +9일
98560,TIGER 방송통신,통신사+데이터,"KT, LG유플러스, SK텔레콤, SBS",-0.80%,2025-03-20,이탈 -1일
102970,KODEX 증권,증권,"한국금융지주, 삼성증권, 미래에셋증권, NH투자증권",0.61%,2025-03-17,유지 +4일
139220,TIGER 200 건설,건설,"현대건설, 삼성E&A, 삼성물산, DL이앤씨",0.66%,2025-03-21,유지 +0일
139240,TIGER 200 철강소재,철강/금속,"현대제철, POSCO홀딩스, 풍산, 고려아연",-1.33%,2025-02-13,유지 +36일
139250,TIGER 200 에너지화학,석유화학,"SK이노베이션, LG화학, SK, HD현대",-0.84%,2025-03-14,이탈 -7일
139270,TIGER 200 금융,금융,"KB금융, 신한지주, 하나금융지주, 삼성화재",-0.17%,2025-03-18,유지 +3일
140700,KODEX 보험,보험,"삼성화재, 삼성생명, DB손해보험, 현대해상",-0.43%,2025-03-19,유지 +2일
140710,KODEX 운송,운송,"현대글로비스, HMM, 대한항공, 한진칼",-0.10%,2025-03-11,이탈 -10일
157490,TIGER 소프트웨어,인터넷,"NAVER, 카카오, 크래프톤, 삼성에스디에스",0.56%,2025-03-14,이탈 -7일
227540,TIGER 200 헬스케어,바이오(코스닥),"셀트리온, 삼성바이오로직스, 한미약품, SK바이오팜",-0.33%,2025-02-27,이탈 -22일
228790,TIGER 화장품,화장품,"파마리서치, 에이피알, 코스맥스, 한국콜마",0.00%,2025-02-14,유지 +35일
228800,TIGER 여행레저,여행레저,"하나투어, 아시아나항공, 강원랜드, 호텔신라",0.00%,2025-02-28,이탈 -21일
228810,TIGER 미디어컨텐츠,엔터,"와이지엔터테인먼트, 에스엠, 디어유, 스튜디오드래곤",1.85%,2025-03-10,이탈 -11일
229200,KODEX 코스닥150,코스닥,"알테오젠, HLB, 에코프로, 삼천당제약",0.00%,2025-02-28,이탈 -21일
261070,TIGER 코스닥150바이오테크,바이오(코스닥),"알테오젠, HLB, 삼천당제약, 리가켐바이오",1.49%,2025-03-19,이탈 -2일
364980,TIGER 2차전지TOP10,2차전지,"LG에너지솔루션, POSCO홀딩스, SK이노베이션, LG화학",-1.00%,2025-03-13,이탈 -8일
364990,TIGER 게임TOP10,게임,"엔씨소프트, 크래프톤, 넷마블, 펄어비스",0.10%,2025-02-28,이탈 -21일
365000,TIGER 인터넷TOP10,인터넷,"카카오, NAVER, 더존비즈온, 카페24",1.30%,2025-02-28,이탈 -21일
433500,ACE 원자력테마딥서치,에너지,"두산에너빌리티, 현대건설, 한국전력, LS ELECTRIC",0.64%,2025-03-06,이탈 -15일
438900,HANARO Fn K-푸드,식품,"삼양식품, 오리온, CJ제일제당, 농심",1.55%,2025-02-06,유지 +43일
445290,KODEX K-로봇액티브,로봇,"레인보우로보틱스, NAVER, 두산로보틱스, 카카오",-0.56%,2025-03-19,이탈 -2일
449450,PLUS K방산,방산/우주항공,"한화에어로스페이스, 현대로템, 한화오션, 한국항공우주",2.86%,2025-01-16,유지 +64일
455860,SOL 2차전지소부장Fn,2차전지소부장,"POSCO홀딩스, LG화학, 에코프로, 에코프로비엠",-1.30%,2025-03-20,유지 +1일
457990,PLUS 태양광&ESS,전력/태양광/ESS,"LS ELECTRIC, 한화, 한화솔루션, HD현대일렉트릭",-2.71%,2025-03-06,이탈 -15일
460280,KIWOOM Fn유전자혁신기술,바이오(중소),"브릿지바이오테라퓨틱스, 올릭스, 보로노이, 파미셀",0.78%,2025-03-19,이탈 -2일
463050,TIMEFOLIO K바이오액티브,바이오,"셀트리온, 알테오젠, 삼성바이오로직스, 퓨처켐",0.76%,2025-03-19,이탈 -2일
463250,TIGER 우주방산,방산/우주항공,"현대로템, 한화에어로스페이스, 한국항공우주, LIG넥스원",3.60%,2025-02-04,유지 +45일
464600,SOL 자동차소부장Fn,자동차소부장,"삼성전기, 현대모비스, LG이노텍, HL만도",0.81%,2025-03-21,유지 +0일
464610,SOL 의료기기소부장Fn,의료기기기,"파마리서치, 클래시스, 휴젤, 메디톡스",0.35%,2025-03-21,유지 +0일
466920,SOL 조선TOP3플러스,조선,"한화오션, 삼성중공업, HD한국조선해양, HD현대중공업",3.05%,2025-03-20,이탈 -1일
475050,ACE KPOP포커스,엔터,"에스엠, 하이브, 와이지엔터테인먼트, JYP ENT.",2.42%,2025-03-10,이탈 -11일
475300,SOL 반도체전공정,반도체전공정,"HPSP, 한솔케미칼, 주성엔지니어링, 파크시스템스",1.62%,2025-03-14,유지 +7일
475310,SOL 반도체후공정,반도체후공정,"이수페타시스, 리노공업, 한하비전, 한미반도체",0.14%,2025-03-14,유지 +7일
479850,HANARO K-뷰티,화장품,"아모레퍼시픽, LG생활건강, 파마리서치, 휴젤",-0.71%,2025-02-14,유지 +35일
483020,KIWOOM 의료AI,의료AI,"삼성바이오로직스, 셀트리온, 한미약품, 보로노이",0.00%,2025-03-06,이탈 -15일
487240,KODEX AI전력핵심설비,전력기기,"LS ELECTRIC, HD현대일렉트릭, 효성중공업, 대한전선",-2.46%,2025-02-24,이탈 -25일
