날짜,산업,섹터,티커,종목명,등락율,시가,종가,고가,저가,거래량,전일종가
2025-03-18,마켓,코스피,69500,KODEX 200,0.24%,35450,35135,35580,35065,6196410,35050
2025-03-18,마켓,코스닥,229200,KODEX 코스닥150,0.40%,12630,12595,12650,12495,9375912,12545
2025-03-18,전력기기,전력기기,487240,KODEX AI전력핵심설비,0.57%,10590,10540,10815,10470,1093540,10480
2025-03-18,전력기기,에너지,433500,ACE 원자력테마딥서치,0.88%,19890,20060,20200,19885,9697,19885
2025-03-18,전력기기,전력/태양광/ESS,457990,PLUS 태양광&ESS,1.02%,10955,10860,11030,10800,12573,10750
2025-03-18,헬스케어,의료AI,483020,KIWOOM 의료AI,1.96%,10060,10165,10190,10025,9292,9970
2025-03-18,조선,조선,466920,SOL 조선TOP3플러스,4.29%,19940,20530,20530,19940,3402946,19685
2025-03-18,조선,운송,140710,KODEX 운송,0.19%,5320,5285,5325,5280,14065,5275
2025-03-18,자동차,자동차,91180,KODEX 자동차,1.38%,18485,18690,18800,18485,258956,18435
2025-03-18,자동차,자동차소부장,464600,SOL 자동차소부장Fn,0.33%,9215,9215,9260,9215,1017,9185
2025-03-18,헬스케어,바이오(코스닥),227540,TIGER 200 헬스케어,0.23%,19950,19925,19975,19810,11582,19880
2025-03-18,헬스케어,바이오(코스닥),261070,TIGER 코스닥150바이오테크,0.92%,14215,14185,14260,14050,114654,14055
2025-03-18,헬스케어,바이오,463050,TIMEFOLIO K바이오액티브,0.71%,12690,12710,12775,12535,218331,12620
2025-03-18,헬스케어,바이오(중소),460280,KIWOOM Fn유전자혁신기술,1.78%,9250,9420,9450,9250,3333,9255
2025-03-18,헬스케어,의료기기기,464610,SOL 의료기기소부장Fn,0.73%,10310,10300,10320,10160,30713,10225
2025-03-18,반도체,반도체전공정,475300,SOL 반도체전공정,-1.08%,8420,8210,8435,8160,57442,8300
2025-03-18,반도체,반도체후공정,475310,SOL 반도체후공정,-0.88%,10915,10715,10915,10645,50766,10810
2025-03-18,금융/보험,금융,139270,TIGER 200 금융,1.23%,8605,8655,8700,8605,89020,8550
2025-03-18,금융/보험,은행,91170,KODEX 은행,0.53%,8580,8575,8670,8565,339115,8530
2025-03-18,금융/보험,증권,102970,KODEX 증권,0.61%,8250,8230,8300,8195,847899,8180
2025-03-18,방산/우주항공,방산/우주항공,449450,PLUS K방산,0.47%,36365,35965,36815,35530,2500112,35795
2025-03-18,방산/우주항공,방산/우주항공,463250,TIGER 우주방산,-0.94%,20475,20000,20635,19725,667899,20190
2025-03-18,철강/화학/금속,철강/금속,139240,TIGER 200 철강소재,0.00%,10355,10295,10495,10275,91944,10295
2025-03-18,철강/화학/금속,석유화학,139250,TIGER 200 에너지화학,0.00%,10035,9995,10145,9965,57650,9995
2025-03-18,반도체,반도체,91160,KODEX 반도체,-0.77%,34055,33545,34220,33370,746799,33805
2025-03-18,금융/보험,보험,140700,KODEX 보험,1.59%,9190,9275,9315,9190,60203,9130
2025-03-18,건설,건설,139220,TIGER 200 건설,1.82%,3025,3075,3080,3020,306348,3020
2025-03-18,소비재/음식료,화장품,228790,TIGER 화장품,-0.51%,2920,2900,2925,2890,2082391,2915
2025-03-18,소비재/음식료,화장품,479850,HANARO K-뷰티,0.34%,11895,11880,11930,11855,23698,11840
2025-03-18,소비재/음식료,식품,438900,HANARO Fn K-푸드,0.69%,11620,11635,11670,11570,42714,11555
2025-03-18,2차전지,2차전지,364980,TIGER 2차전지TOP10,-0.43%,8275,8195,8360,8195,1745268,8230
2025-03-18,2차전지,2차전지소부장,455860,SOL 2차전지소부장Fn,0.62%,4045,4030,4110,4010,411194,4005
2025-03-18,통신,통신사+데이터,98560,TIGER 방송통신,0.13%,7480,7445,7480,7420,1926,7435
2025-03-18,통신,인터넷,157490,TIGER 소프트웨어,-0.12%,8300,8240,8340,8215,241446,8250
2025-03-18,통신,인터넷,365000,TIGER 인터넷TOP10,0.90%,3895,3930,3955,3895,359050,3895
2025-03-18,기타,엔터,475050,ACE KPOP포커스,-3.49%,9750,9410,9800,9400,943984,9750
2025-03-18,기타,엔터,228810,TIGER 미디어컨텐츠,-2.09%,5520,5390,5520,5380,277753,5505
2025-03-18,기타,게임,364990,TIGER 게임TOP10,-0.20%,4895,4880,4940,4865,103100,4890
2025-03-18,기타,여행레저,228800,TIGER 여행레저,0.34%,2985,2985,2990,2970,104629,2975
2025-03-18,기타,로봇,445290,KODEX K-로봇액티브,0.00%,14960,14925,15020,14820,118042,14925
