티커,ETF 이름,대표 구성 종목 1,대표 구성 종목 2,대표 구성 종목 3,대표 구성 종목 4
457990,PLUS 태양광&ESS,LS ELECTRIC,한화,한화솔루션,HD현대일렉트릭
227540,TIGER 200 헬스케어,셀트리온,삼성바이오로직스,한미약품,SK바이오팜
261070,TIGER 코스닥150바이오테크,알테오젠,HLB,삼천당제약,리가켐바이오
463050,TIMEFOLIO K바이오액티브,셀트리온,알테오젠,삼성바이오로직스,퓨처켐
460280,KIWOOM Fn유전자혁신기술,브릿지바이오테라퓨틱스,올릭스,보로노이,파미셀
069500,KODEX 200,삼성전자,SK하이닉스,셀트리온,현대차
229200,KODEX 코스닥150,알테오젠,HLB,에코프로,삼천당제약
487240,KODEX AI전력핵심설비,LS ELECTRIC,HD현대일렉트릭,효성중공업,대한전선
433500,ACE 원자력테마딥서치,두산에너빌리티,현대건설,한국전력,LS ELECTRIC
464610,SOL 의료기기소부장Fn,파마리서치,클래시스,휴젤,메디톡스
483020,KIWOOM 의료AI,삼성바이오로직스,셀트리온,한미약품,보로노이
466920,SOL 조선TOP3플러스,한화오션,삼성중공업,HD한국조선해양,HD현대중공업
140710,KODEX 운송,현대글로비스,HMM,대한항공,한진칼
091180,KODEX 자동차,현대모비스,기아,현대차,한국타이어앤테크놀로지
464600,SOL 자동차소부장Fn,삼성전기,현대모비스,LG이노텍,HL만도
449450,PLUS K방산,한화에어로스페이스,현대로템,한화오션,한국항공우주
463250,TIGER 우주방산,현대로템,한화에어로스페이스,한국항공우주,LIG넥스원
139240,TIGER 200 철강소재,현대제철,POSCO홀딩스,풍산,고려아연
139250,TIGER 200 에너지화학,SK이노베이션,LG화학,SK,HD현대
091160,KODEX 반도체,SK하이닉스,삼성전자,한미반도체,리노공업
475300,SOL 반도체전공정,HPSP,한솔케미칼,주성엔지니어링,파크시스템스
475310,SOL 반도체후공정,이수페타시스,리노공업,한하ㅗ비전,한미반도체
139270,TIGER 200 금융,KB금융,신한지주,하나금융지주,삼성화재
091170,KODEX 은행,하나금융지주,KB금융,신한지주,우리금융지주
102970,KODEX 증권,한국금융지주,삼성증권,미래에셋증권,NH투자증권
140700,KODEX 보험,삼성화재,삼성생명,DB손해보험,현대해상
139220,TIGER 200 건설,현대건설,삼성E&A,삼성물산,DL이앤씨
228790,TIGER 화장품,파마리서치,에이피알,코스맥스,한국콜마
479850,HANARO K-뷰티,아모레퍼시픽,LG생활건강,파마리서치,휴젤
445290,KODEX K-로봇액티브,레인보우로보틱스,NAVER,두산로보틱스,카카오
438900,HANARO Fn K-푸드,삼양식품,오리온,CJ제일제당,농심
364980,TIGER 2차전지TOP10,LG에너지솔루션,POSCO홀딩스,SK이노베이션,LG화학
455860,SOL 2차전지소부장Fn,POSCO홀딩스,LG화학,에코프로,에코프로비엠
098560,TIGER 방송통신,KT,LG유플러스,SK텔레콤,SBS
157490,TIGER 소프트웨어,NAVER,카카오,크래프톤,삼성에스디에스
365000,TIGER 인터넷TOP10,카카오,NAVER,더존비즈온,카페24
475050,ACE KPOP포커스,에스엠,하이브,와이지엔터테인먼트,JYP ENT.
228810,TIGER 미디어컨텐츠,와이지엔터테인먼트,에스엠,디어유,스튜디오드래곤
364990,TIGER 게임TOP10,엔씨소프트,크래프톤,넷마블,펄어비스
228800,TIGER 여행레저,하나투어,아시아나항공,강원랜드,호텔신라
