날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-12-13,11000,11120,10755,11080,105206,463250,TIGER 우주방산
2024-12-16,11270,11270,10870,11000,140304,463250,TIGER 우주방산
2024-12-17,10995,11045,10655,10855,117293,463250,TIGER 우주방산
2024-12-18,10740,10995,10740,10825,52441,463250,TIGER 우주방산
2024-12-19,10540,10975,10510,10835,81686,463250,TIGER 우주방산
2024-12-20,10890,10950,10660,10715,95536,463250,TIGER 우주방산
2024-12-23,10835,11495,10835,11435,144824,463250,TIGER 우주방산
2024-12-24,11480,11545,11250,11340,77540,463250,TIGER 우주방산
2024-12-26,11395,11495,11205,11380,113155,463250,TIGER 우주방산
2024-12-27,11375,11485,11090,11145,125998,463250,TIGER 우주방산
2024-12-30,11075,11520,11075,11485,103767,463250,TIGER 우주방산
2025-01-02,11500,12280,11500,12270,211539,463250,TIGER 우주방산
2025-01-03,12255,12380,12160,12350,111048,463250,TIGER 우주방산
2025-01-06,12385,12500,12210,12240,123650,463250,TIGER 우주방산
2025-01-07,12345,12655,12345,12470,129111,463250,TIGER 우주방산
2025-01-08,12400,12400,12180,12345,100696,463250,TIGER 우주방산
2025-01-09,12330,12330,11835,12320,67503,463250,TIGER 우주방산
2025-01-10,12320,12320,11935,11950,67556,463250,TIGER 우주방산
2025-01-13,11975,12105,11880,12065,39290,463250,TIGER 우주방산
2025-01-14,12155,12360,12065,12270,101429,463250,TIGER 우주방산
2025-01-15,12305,12370,12190,12245,62815,463250,TIGER 우주방산
2025-01-16,12250,12305,12050,12175,102355,463250,TIGER 우주방산
2025-01-17,12180,12225,11970,12135,93906,463250,TIGER 우주방산
2025-01-20,12220,12220,11900,11945,96991,463250,TIGER 우주방산
2025-01-21,12110,12445,12110,12330,570909,463250,TIGER 우주방산
2025-01-22,12455,12515,12280,12360,140257,463250,TIGER 우주방산
2025-01-23,12400,12495,12100,12160,510795,463250,TIGER 우주방산
2025-01-24,12220,12685,12220,12660,163112,463250,TIGER 우주방산
2025-01-31,12665,12755,12370,12465,129052,463250,TIGER 우주방산
2025-02-03,12235,12250,12015,12120,125331,463250,TIGER 우주방산
2025-02-04,12305,12765,12305,12730,298742,463250,TIGER 우주방산
2025-02-05,12825,12825,12620,12795,178184,463250,TIGER 우주방산
2025-02-06,12830,13415,12510,13395,572086,463250,TIGER 우주방산
2025-02-07,13480,14125,13480,13595,1333865,463250,TIGER 우주방산
2025-02-10,13670,13765,13435,13480,343574,463250,TIGER 우주방산
2025-02-11,13985,14150,13630,14150,651183,463250,TIGER 우주방산
2025-02-12,14200,15375,14200,15220,1192930,463250,TIGER 우주방산
2025-02-13,15150,15515,14885,15320,379191,463250,TIGER 우주방산
2025-02-14,15465,15625,15070,15485,668587,463250,TIGER 우주방산
2025-02-17,15440,16100,15310,15840,798732,463250,TIGER 우주방산
2025-02-18,16245,17125,16245,17030,1100761,463250,TIGER 우주방산
2025-02-19,17000,17000,16580,16710,691315,463250,TIGER 우주방산
2025-02-20,16640,17300,16170,16790,829630,463250,TIGER 우주방산
2025-02-21,16690,17390,16395,17170,735115,463250,TIGER 우주방산
2025-02-24,17050,17210,16555,16700,414093,463250,TIGER 우주방산
2025-02-25,16620,17165,16350,17075,375485,463250,TIGER 우주방산
2025-02-26,17240,17500,16570,16650,332951,463250,TIGER 우주방산
2025-02-27,16655,16990,16280,16475,524634,463250,TIGER 우주방산
2025-02-28,16440,16595,15655,15665,873242,463250,TIGER 우주방산
2025-03-04,15800,17305,15765,17305,780090,463250,TIGER 우주방산
2025-03-05,17250,17550,16900,17525,719278,463250,TIGER 우주방산
2025-03-06,17945,18375,17530,18070,664602,463250,TIGER 우주방산
2025-03-07,18045,18915,17750,18700,554197,463250,TIGER 우주방산
2025-03-10,19075,19220,18275,18980,1006510,463250,TIGER 우주방산
2025-03-11,18365,18810,18280,18755,739612,463250,TIGER 우주방산
2025-03-12,18795,19300,17800,18040,1874418,463250,TIGER 우주방산
2025-03-13,18270,19150,18270,18910,809386,463250,TIGER 우주방산
2025-03-14,18910,19050,18675,18835,445382,463250,TIGER 우주방산
2025-03-17,18960,20300,18910,20190,826361,463250,TIGER 우주방산
2025-03-18,20475,20635,19725,20000,667899,463250,TIGER 우주방산
2025-03-19,20240,20520,20085,20445,52391,463250,TIGER 우주방산
