산업,섹터,티커,종목명,등락율,시가,종가,고가,저가,거래량,전일종가
마켓,코스피,069500,KODEX 200,0.48%,35600.0,35845.0,35900.0,35525.0,6252137,35675.0
마켓,코스닥,229200,KODEX 코스닥150,-1.65%,11910.0,11910.0,12030.0,11830.0,11396640,12110.0
전력기기,전력기기,487240,KODEX AI전력핵심설비,-3.69%,10180.0,9930.0,10185.0,9870.0,1082817,10310.0
전력기기,에너지,433500,ACE 원자력테마딥서치,-0.05%,19580.0,19705.0,19850.0,19340.0,13238,19715.0
전력기기,전력/태양광/ESS,457990,PLUS 태양광&ESS,-5.79%,10535.0,10250.0,10535.0,10100.0,48620,10880.0
헬스케어,바이오(코스닥),227540,TIGER 200 헬스케어,-1.47%,19570.0,19505.0,19905.0,19435.0,31544,19795.0
헬스케어,바이오(코스닥),261070,TIGER 코스닥150바이오테크,-5.98%,12090.0,12270.0,13000.0,11785.0,308260,13050.0
헬스케어,바이오,463050,TIMEFOLIO K바이오액티브,-0.54%,11785.0,11875.0,12255.0,11785.0,508220,11940.0
헬스케어,바이오(중소),460280,KIWOOM Fn유전자혁신기술,-0.83%,8930.0,9000.0,9080.0,8930.0,137,9075.0
헬스케어,의료기기기,464610,SOL 의료기기소부장Fn,0.60%,10045.0,10080.0,10080.0,9985.0,3890,10020.0
반도체,반도체전공정,475300,SOL 반도체전공정,1.62%,8335.0,8470.0,8595.0,8335.0,64853,8335.0
반도체,반도체후공정,475310,SOL 반도체후공정,0.00%,10715.0,10730.0,10905.0,10650.0,38478,10730.0
금융/보험,금융,139270,TIGER 200 금융,-0.51%,8735.0,8720.0,8765.0,8630.0,58040,8765.0
금융/보험,은행,091170,KODEX 은행,0.06%,8595.0,8685.0,8710.0,8575.0,511322,8680.0
금융/보험,증권,102970,KODEX 증권,0.36%,8250.0,8300.0,8330.0,8225.0,82062,8270.0
헬스케어,의료AI,483020,KIWOOM 의료AI,-0.45%,9895.0,9895.0,10020.0,9850.0,5298,9940.0
조선,조선,466920,SOL 조선TOP3플러스,0.08%,18700.0,19270.0,19380.0,18615.0,2963904,19255.0
조선,운송,140710,KODEX 운송,-0.29%,5205.0,5200.0,5230.0,5170.0,42455,5215.0
자동차,자동차,091180,KODEX 자동차,0.77%,18815.0,19030.0,19155.0,18815.0,167727,18885.0
자동차,자동차소부장,464600,SOL 자동차소부장Fn,0.81%,9250.0,9325.0,9355.0,9250.0,261,9250.0
방산/우주항공,방산/우주항공,449450,PLUS K방산,-4.15%,32205.0,33125.0,33580.0,31970.0,3440061,34560.0
방산/우주항공,방산/우주항공,463250,TIGER 우주방산,-3.28%,18065.0,18715.0,18930.0,18065.0,1905334,19350.0
철강/화학/금속,철강/금속,139240,TIGER 200 철강소재,-1.66%,10525.0,10385.0,10525.0,10285.0,26339,10560.0
철강/화학/금속,석유화학,139250,TIGER 200 에너지화학,-0.89%,10135.0,10050.0,10135.0,9875.0,92301,10140.0
반도체,반도체,091160,KODEX 반도체,1.52%,34540.0,34980.0,35340.0,34540.0,1010418,34455.0
금융/보험,보험,140700,KODEX 보험,-0.05%,9365.0,9325.0,9365.0,9235.0,15724,9330.0
건설,건설,139220,TIGER 200 건설,0.99%,3035.0,3055.0,3055.0,3010.0,365320,3025.0
소비재/음식료,화장품,228790,TIGER 화장품,0.34%,2915.0,2915.0,2955.0,2865.0,2366003,2905.0
뷰티,화장품,479850,HANARO K-뷰티,-0.08%,11920.0,11835.0,11925.0,11715.0,21020,11845.0
소비재/음식료,식품,438900,HANARO Fn K-푸드,1.55%,11900.0,12085.0,12085.0,11795.0,97708,11900.0
2차전지,2차전지,364980,TIGER 2차전지TOP10,-1.29%,8490.0,8405.0,8490.0,8230.0,1597892,8515.0
2차전지,2차전지소부장,455860,SOL 2차전지소부장Fn,-1.42%,4215.0,4160.0,4215.0,4070.0,427479,4220.0
통신,통신사+데이터,098560,TIGER 방송통신,-0.27%,7470.0,7410.0,7470.0,7410.0,16935,7430.0
통신,인터넷,157490,TIGER 소프트웨어,0.74%,8070.0,8115.0,8115.0,7995.0,186297,8055.0
통신,인터넷,365000,TIGER 인터넷TOP10,1.57%,3840.0,3890.0,3890.0,3805.0,373188,3830.0
기타,엔터,475050,ACE KPOP포커스,1.93%,9305.0,9530.0,9590.0,9285.0,820531,9350.0
기타,엔터,228810,TIGER 미디어컨텐츠,1.85%,5400.0,5500.0,5500.0,5335.0,1721756,5400.0
기타,게임,364990,TIGER 게임TOP10,0.63%,4820.0,4825.0,4825.0,4760.0,100477,4795.0
기타,여행레저,228800,TIGER 여행레저,0.68%,2980.0,2980.0,2995.0,2960.0,196744,2960.0
기타,로봇,445290,KODEX K-로봇액티브,-1.41%,14395.0,14315.0,14580.0,14270.0,113355,14520.0
